epoch,train_loss,val_loss
1,2586.757477492094,0.3967657685279846
2,2550.4644341245294,0.39867645502090454
3,2541.130228638649,0.3955199122428894
4,2538.421122930944,0.39644545316696167
5,2534.587056145072,0.39494967460632324
6,2529.8487795889378,0.3938853144645691
7,2527.396306604147,0.39439886808395386
8,2523.725311681628,0.39500412344932556
9,2521.36017870903,0.3944249749183655
10,2518.2448592483997,0.39561182260513306
11,2517.078796930611,0.397694855928421
12,2514.4508680403233,0.3951299786567688
