epoch,train_loss,val_loss
1,138.99593035667203,0.0029488711152225733
2,94.23610423883656,0.002856405219063163
3,91.83530880289618,0.0028180174995213747
4,90.94524311536225,0.002802418079227209
5,90.68090423796093,0.0027822498232126236
6,90.68104909226531,0.0027931297663599253
7,91.03029565361794,0.0028007319197058678
8,91.28233291889774,0.0028088644612580538
9,91.72830569703365,0.002829107688739896
10,92.44810918497387,0.002837696112692356
11,92.82210390159162,0.0028654071502387524
12,93.54337858967483,0.0028711166232824326
13,94.40109409816796,0.002897208323702216
14,95.23218857642496,0.0029156485106796026
15,96.13675233739195,0.002932785078883171
